# BUSCO version is: 5.2.2 
# The lineage dataset is: alveolata_odb10 (Creation date: 2020-09-10, number of genomes: 65, number of BUSCOs: 171)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
450at33630	Missing
689at33630	Missing
747at33630	Missing
1227at33630	Missing
1505at33630	Missing
1636at33630	Missing
2347at33630	Missing
2413at33630	Missing
2595at33630	Missing
2617at33630	Missing
2846at33630	Missing
2868at33630	Missing
3059at33630	Missing
3118at33630	Missing
3134at33630	Missing
3330at33630	Missing
3596at33630	Missing
3973at33630	Missing
4205at33630	Missing
4220at33630	Missing
4290at33630	Fragmented	NODE_133116_length_469_cov_11.818182_g132114_i0:98-304	82.7	62	https://www.orthodb.org/v10?query=4290at33630	Threonine--tRNA ligase
4448at33630	Missing
4474at33630	Missing
4608at33630	Missing
5966at33630	Missing
6358at33630	Missing
6380at33630	Missing
6394at33630	Missing
6634at33630	Fragmented	NODE_143623_length_450_cov_3.122016_g142614_i0:13-273	95.0	76	https://www.orthodb.org/v10?query=6634at33630	Bifunctional dihydrofolate reductase-thymidylate synthase
6842at33630	Missing
6873at33630	Missing
6981at33630	Fragmented	NODE_18478_length_849_cov_20.324742_g18084_i0:95-826	340.9	170	https://www.orthodb.org/v10?query=6981at33630	ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal domain
7372at33630	Fragmented	NODE_52425_length_663_cov_14.291525_g51696_i0:152-601	173.0	141	https://www.orthodb.org/v10?query=7372at33630	Cyclophilin-type peptidyl-prolyl cis-trans isomerase
7400at33630	Missing
7531at33630	Missing
7667at33630	Complete	NODE_43_length_2603_cov_11.037945_g40_i0:460-1458	186.1	368	https://www.orthodb.org/v10?query=7667at33630	WD40-repeat-containing domain
7781at33630	Missing
7933at33630	Missing
8103at33630	Missing
8254at33630	Missing
8552at33630	Missing
8867at33630	Fragmented	NODE_64436_length_624_cov_7.058076_g63612_i0:89-622	15.1	206	https://www.orthodb.org/v10?query=8867at33630	Zinc finger protein, putative
9068at33630	Missing
9187at33630	Missing
9188at33630	Missing
9190at33630	Missing
9317at33630	Missing
9451at33630	Missing
9481at33630	Missing
9624at33630	Missing
10327at33630	Missing
10862at33630	Missing
11005at33630	Missing
11130at33630	Missing
11233at33630	Missing
11289at33630	Missing
11404at33630	Complete	NODE_328_length_1713_cov_8.114634_g290_i0:159-1616	482.0	359	https://www.orthodb.org/v10?query=11404at33630	Nop domain
11443at33630	Missing
11480at33630	Missing
11591at33630	Missing
12048at33630	Missing
12251at33630	Missing
12352at33630	Missing
12649at33630	Missing
12825at33630	Missing
12963at33630	Missing
13130at33630	Missing
13350at33630	Fragmented	NODE_37697_length_723_cov_8.426154_g37090_i0:22-420	103.7	97	https://www.orthodb.org/v10?query=13350at33630	Thioredoxin, putative
13697at33630	Missing
13773at33630	Missing
13998at33630	Missing
14036at33630	Missing
14653at33630	Complete	NODE_1990_length_1241_cov_24.208048_g1897_i0:295-1237	193.3	215	https://www.orthodb.org/v10?query=14653at33630	WD40-repeat-containing domain
15169at33630	Missing
15419at33630	Fragmented	NODE_25138_length_795_cov_8.222992_g24665_i0:23-538	161.9	128	https://www.orthodb.org/v10?query=15419at33630	V-type proton ATPase subunit
15438at33630	Missing
15452at33630	Missing
15502at33630	Missing
15611at33630	Missing
16031at33630	Missing
16291at33630	Missing
16577at33630	Duplicated	NODE_535_length_1533_cov_324.243836_g486_i0:302-1396	188.8	305	https://www.orthodb.org/v10?query=16577at33630	Actin-like family protein ARP6, putative
16577at33630	Duplicated	NODE_4771_length_1084_cov_10.517310_g4609_i0:287-1078	171.7	229	https://www.orthodb.org/v10?query=16577at33630	Actin-like family protein ARP6, putative
16771at33630	Missing
16788at33630	Missing
16902at33630	Missing
17021at33630	Complete	NODE_277_length_1777_cov_29.430164_g243_i0:596-1747	226.6	324	https://www.orthodb.org/v10?query=17021at33630	Tubulin gamma chain
17571at33630	Fragmented	NODE_70872_length_606_cov_3.696060_g70018_i0:248-532	136.1	94	https://www.orthodb.org/v10?query=17571at33630	26S proteasome non-ATPase regulatory subunit 13
17882at33630	Missing
17892at33630	Missing
17911at33630	Missing
17936at33630	Missing
18258at33630	Missing
18644at33630	Missing
18778at33630	Missing
18799at33630	Missing
18980at33630	Missing
19169at33630	Missing
19235at33630	Missing
19279at33630	Missing
19323at33630	Missing
19946at33630	Missing
20011at33630	Complete	NODE_11900_length_926_cov_11.907386_g11603_i0:69-869	363.4	222	https://www.orthodb.org/v10?query=20011at33630	40S ribosomal protein S3a
20320at33630	Fragmented	NODE_28012_length_776_cov_5.376956_g27507_i0:211-765	293.0	171	https://www.orthodb.org/v10?query=20320at33630	Ribosomal protein S5
20963at33630	Missing
